Crag,Voie,Cotation,Jan,Fev,Mar,Avr,Mai,Juin,Juil,Aout,Sep,Oct,Nov,Dec
La Balme,Alien,8a+,0,0,0,0,2,4,10,9,6,2,1,0
La Balme,Cathedrale,7b+,0,1,0,2,4,5,8,10,6,5,1,0
La Balme,Poussiere d'etoile,7c+,0,0,0,0,3,4,10,7,10,4,0,0
Gorges du Tarn,Tennessee,8b,0,0,1,4,5,4,10,7,6,5,3,0
Gorges du Tarn,Bar-bitturique,8a,0,0,0,10,6,5,8,9,7,6,3,0
St Leger,Metal Gear Soline,8a,3,3,3,7,10,3,2,0,0,8,4,0
St Leger,FFMeuh,7c+,0,1,4,10,5,3,3,3,3,5,3,0
Russan,Quart de Siecle,8a,10,6,6,1,0,0,0,0,0,0,1,8
Seynes,Dinosaure,8a+,8,8,7,6,2,0,0,0,0,3,7,10
Buoux,J'irai cracher sur vos tombes,7c+,6,7,10,6,5,4,0,1,4,6,7,6
Ceuse,Blocage violent,7b+,0,0,0,0,3,5,9,10,4,1,0,0
